Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,247,38853100
United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,25,13850000
SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,29,12275323
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,40,6860800
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,8,3040000
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,75,3525000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,138,19639859
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,22,5984000
Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B788,24,9120000
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,2,256000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,55,7396510
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,60,33240000
Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,22,8756758
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC10,7,2621500
China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B773,1,554000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Airbus,A359,30,13558410
American Airlines,AA,American Airlines,AA,International,Asia,Passenger,Wide Body,Boeing,B773,1,554000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,1220,156160000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B772,15,6900000
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,962,72108634
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,12,10344084
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,166,24285800
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B739,22,3383600
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B773,1,554000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,11,6094000
Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,21,178500
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,1,554000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A333,1,412264
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,127,53975000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A321,12,2058240
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,32,4681600
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1027,150250100
Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A319,11,1515668
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,23,3169127
All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,262,36100456
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,3,201000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,650,89562200
China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,22,14652000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,27,20601000
Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000
Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,48,6878416
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,281,55638000
Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A319,1,137789
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,29,12325000
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E175,1,74957
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,167,18370000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,30,18900000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,26,16970000
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,33,2473581
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Airbus,A332,28,11110400
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,55,19250000
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,5,688945
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816
China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Airbus,A359,39,17797923
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B738,33,4752000
Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,27,3928635
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,43,6256715
EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,B744,1,652000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B773,28,15512000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,29,4156812
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,32,10432000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,4,1400000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,28,15512000
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1609,229758919
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,16,2151712
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,24,7680000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,5,672410
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,650,92234704
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,29,16558913
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,118,65372000
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,97,14020900
Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,326,24508028
